No	Xt-EHR resource	Xt-EHR field	Xt-EHR cardinality	Xt-EHR description	ExtEHR type	Xt-EHR binding	Xt-EHR source	R5 Mapped Resource	R5 Mapped Field	R5 Relation				R5 Comments	R5 Needs work	R5 Producer Obligation	R5 Consumer Obligation	R5 Composition section	R4 Mapped Resource	R4 Mapped Field	R4 EQ				R4 Modeling	R4 Needs work	R4 Producer Obligation	R4 Consumer Obligation	R4 Composition section	
1	EHDSAddress		0..*	EHDS refined base model for Address structure			Address model	EuAddress																						
2	EHDSAddress	use	0..1	Purpose of the address	CodeableConcept	HL7 AddressUse (preferred)	Purpose of the address	EuAddress	use	EQ											EQ									
3	EHDSAddress	type	0..1	Distinguishes between physical addresses (those you can visit) and mailing addresses (e.g. PO Boxes and care-of addresses). Most addresses are both.	CodeableConcept	HL7 AddressType (preferred)	Distinguishes between physical addresses (those you can visit) and mailing addresses (e.g. PO Boxes and care-of addresses). Most addresses are both.	EuAddress	type	EQ											EQ									
4	EHDSAddress	text	0..1	Text representation of the address	string		Text representation of the address	EuAddress	text	EQ											EQ									
5	EHDSAddress	street	0..1	Name of the street	string		Name of the street	EuAddress	line	TB											TB									
6	EHDSAddress	street	0..1	Name of the street	string		Name of the street	EuAddress	line.extension[streetName]	EQ											EQ									
7	EHDSAddress	houseNumber	0..1	House number	string		House number	EuAddress	line	TB											TB									
8	EHDSAddress	houseNumber	0..1	House number	string		House number	EuAddress	line.extension[houseNumber]	EQ											EQ									
9	EHDSAddress	postBox	0..1	Post box	string		Post box	EuAddress	line	TB											TB									
10	EHDSAddress	postBox	0..1	Post box	string		Post box	EuAddress	line.extension[postBox]	EQ											EQ									
11	EHDSAddress	city	0..1	City	string		City	EuAddress	city	EQ											EQ									
12	EHDSAddress	postalCode	0..1	Postal code	string		Postal code	EuAddress	postalCode	EQ											EQ									
13	EHDSAddress	country	0..1	Country name and country code	CodeableConcept	ISO 3166-1 alpha-2 (preferred)	Country name and country code	EuAddress	country	EQ											EQ									
14	EHDSAddress	country	0..1	Country name and country code	CodeableConcept	ISO 3166-1 alpha-2 (preferred)	Country name and country code	EuAddress	country.extension[countryCode]	EQ											EQ									
